"content_resource_id","chapter_number","section_number","zybook_id","parts"
20969,3,3,100,4
20974,3,4,100,2
20980,3,4,100,3
20988,3,4,100,2
20998,3,4,100,4
25603,5,1,100,4
25620,5,2,100,3
25627,5,2,100,5
24094,6,1,100,3
24100,6,1,100,3
24106,6,1,100,2
42868,6,2,100,3
24181,6,4,100,2
24195,6,4,100,2
24222,6,5,100,3
23679,7,1,100,3
23683,7,1,100,2
23706,7,2,100,2
24260,8,1,100,5
24264,8,1,100,3
24284,8,1,100,1
24328,8,3,100,5
24335,8,3,100,4
24353,8,4,100,3
24362,8,4,100,3
24383,8,4,100,4
24396,8,5,100,3
24411,8,6,100,5
20506,9,2,100,3
20514,9,2,100,4
20521,9,3,100,3
20535,9,3,100,3
20603,9,6,100,2
22701,10,1,100,2
22710,10,1,100,1
22721,10,2,100,3
22729,10,2,100,2
22735,10,2,100,1
22739,10,2,100,2
22775,10,4,100,2
22793,10,4,100,3
22543,11,1,100,1
22581,11,3,100,3
22635,11,6,100,3
22641,11,6,100,5
22650,11,7,100,2
22658,11,7,100,2
22678,11,8,100,1
24592,12,1,100,6
24705,12,3,100,5
24722,12,4,100,3
24737,12,4,100,2
24743,12,4,100,2
24747,12,4,100,3
24774,12,5,100,4
24789,12,5,100,3
22985,13,1,100,3
22996,13,1,100,5
23008,13,2,100,3
23020,13,2,100,2
23035,13,3,100,6
23043,13,3,100,3
23093,13,5,100,4
23108,13,6,100,2
681869,1,3,101,2
681875,1,3,101,1
681879,1,3,101,2
681905,1,4,101,2
682007,1,11,101,2
650222,2,1,101,4
650242,2,2,101,8
650246,2,2,101,3
650248,2,2,101,4
650274,2,4,101,5
650282,2,4,101,4
650286,2,4,101,8
650294,2,4,101,4
650315,2,5,101,3
650319,2,5,101,5
650352,2,8,101,5
650363,2,9,101,4
650365,2,9,101,2
650379,2,10,101,4
650384,2,11,101,1
650395,2,11,101,1
650409,2,12,101,3
650411,2,12,101,2
650415,2,12,101,2
650422,2,12,101,3
650450,2,15,101,3
650461,2,16,101,2
650474,2,17,101,8
650480,2,17,101,3
651059,3,1,101,5
651061,3,1,101,3
651065,3,1,101,2
651069,3,1,101,3
651078,3,2,101,9
651083,3,2,101,2
651104,3,3,101,3
651106,3,3,101,1
651110,3,3,101,4
651112,3,3,101,5
651120,3,3,101,2
651135,3,4,101,6
651156,3,5,101,3
651165,3,5,101,5
651176,3,6,101,2
651191,3,7,101,1
651204,3,8,101,5
651210,3,8,101,3
651234,3,10,101,5
651424,4,2,101,3
651428,4,2,101,5
651434,4,2,101,5
651446,4,3,101,4
651450,4,3,101,4
651461,4,4,101,3
651470,4,4,101,4
651479,4,4,101,2
651490,4,5,101,5
651516,4,6,101,2
651518,4,6,101,2
651543,4,8,101,2
651567,4,10,101,4
689940,5,1,101,6
689957,5,2,101,5
689975,5,4,101,3
690003,5,5,101,2
690018,5,6,101,1
690050,5,9,101,4
690061,5,10,101,2
690084,5,12,101,7
690094,5,12,101,7
690103,5,13,101,7
690108,5,14,101,3
647759,6,1,101,5
647771,6,2,101,4
647778,6,2,101,2
647821,6,5,101,3
647825,6,5,101,3
647872,6,9,101,4
647923,6,13,101,3
647933,6,13,101,3
647970,6,18,101,3
681760,7,1,101,7
681774,7,2,101,2
681776,7,2,101,2
681781,7,3,101,3
667988,8,1,101,2
668006,8,2,101,4
668021,8,3,101,3
668030,8,4,101,5
668041,8,5,101,4
668052,8,6,101,3
668060,8,6,101,2
668069,8,7,101,2
668086,8,8,101,8
668099,8,9,101,2
650122,9,1,101,4
650127,9,2,101,3
650136,9,3,101,3
650142,9,3,101,3
650148,9,3,101,4
650159,9,4,101,2
650166,9,4,101,2
650174,9,4,101,3
650191,9,5,101,4
650208,9,6,101,3
650213,9,7,101,2
691868,10,2,101,3
691881,10,3,101,2
17205,1,2,105,2
21071,2,3,105,2
20944,3,1,105,4
20958,3,2,105,3
